,mains,oven,refrigerator,dishwaser,kitchen_outlets,kitchen_outlets,kitchen_outlets,kitchen_outlets,lighting,lighting,lighting,washer,microwave,bathroom_gfi,electric_heat,stove,dryer
5.46,236.91,0,7,0,20,22,1,0,1,65,45,0,4,1,0,0,0
5.47,236.03,0,7,0,22,22,1,0,2,65,45,0,4,1,0,0,0
5.48,241.25,0,6,0,25,22,1,0,1,65,45,0,4,1,0,0,0
5.49,235.63,0,6,0,22,22,1,0,2,65,45,0,4,1,0,0,0
5.5,288.94,0,6,0,21,49,1,0,1,65,45,0,5,1,0,0,0
5.51,308.3,0,6,0,23,65,1,0,1,65,45,0,4,1,0,0,0
5.52,313.61,0,6,0,20,70,1,0,1,65,45,0,4,1,0,0,0
5.53,283.21,0,6,0,20,47,1,0,1,65,45,0,4,1,0,0,0
5.54,291.86,0,6,0,24,49,1,0,1,65,45,0,4,1,0,0,0
5.55,289.28,0,6,0,21,50,1,0,1,65,44,0,4,1,0,0,0
5.56,283.15,0,6,0,21,50,1,0,1,65,45,0,4,1,0,0,0
5.57,283.39,0,6,0,20,49,1,0,1,65,45,0,4,1,0,0,0
5.58,281.35,0,6,0,20,52,1,0,2,65,44,0,5,1,0,0,0
5.59,280.3,0,6,0,20,48,1,0,1,64,44,0,4,1,0,0,0
6,285.84,0,6,0,23,48,1,0,1,64,44,0,5,1,0,0,0
6.01,288.21,0,6,0,22,47,2,0,1,64,45,0,4,1,0,0,0
6.02,279.87,0,7,0,24,49,1,0,1,64,44,0,4,1,0,0,0
6.03,285.83,0,7,0,24,48,1,0,1,65,45,0,4,1,0,0,0
6.04,282.26,0,6,0,20,49,1,0,1,64,44,0,4,1,0,0,0
6.05,280.82,0,6,0,20,49,1,0,1,64,45,0,4,1,0,0,0
6.06,290.84,0,6,0,22,45,1,0,2,64,44,0,5,1,0,0,0
6.07,287.92,0,6,0,25,47,1,0,1,65,44,0,4,1,0,0,0
6.08,280.83,0,7,0,25,46,1,0,1,64,45,0,4,1,0,0,0
6.09,287.59,0,7,0,22,48,1,0,1,65,45,0,4,1,0,0,0
6.1,286.27,0,7,0,21,49,1,0,1,65,45,0,4,1,0,0,0
6.11,290.61,0,6,0,20,50,1,0,1,65,45,0,4,1,0,0,0
6.12,287.29,0,7,0,20,50,1,0,2,65,45,0,4,1,0,0,0
6.13,293.18,0,6,0,20,54,1,0,1,65,45,0,4,1,0,0,0
6.14,287.89,0,6,0,20,53,2,0,2,65,45,0,4,1,0,0,0
6.15,286.28,0,7,0,20,54,1,0,1,65,45,0,4,1,0,0,0
6.16,290.07,0,7,0,23,49,2,0,1,65,45,0,4,1,0,0,0
6.17,289.2,0,7,0,20,47,1,0,1,65,45,0,4,1,0,0,0
6.18,290.04,0,6,0,21,49,1,0,1,65,45,0,5,1,0,0,0
6.19,304.06,0,6,0,21,67,1,0,2,64,45,0,4,1,0,0,0
6.2,305.51,0,6,0,20,53,1,0,1,65,44,0,4,1,0,0,0
6.21,289.57,0,6,0,20,66,1,0,1,64,45,0,4,1,0,0,0
6.22,479.11,0,209,0,23,50,1,0,2,64,44,0,4,1,0,0,0
6.23,466.81,0,200,0,21,54,1,0,2,65,44,0,4,1,0,0,0
6.24,463.44,0,199,0,21,49,1,0,2,64,45,0,4,1,0,0,0
6.25,467.29,0,198,0,21,61,1,0,2,64,45,0,4,1,0,0,0
6.26,463.47,0,194,0,23,51,1,0,2,64,44,0,4,1,0,0,0
6.27,462.29,0,193,0,21,49,1,0,2,64,45,0,4,1,0,0,0
6.28,467.73,0,190,0,24,50,1,0,2,65,45,0,4,1,0,0,0
6.29,472.45,0,191,0,21,52,1,0,1,65,45,0,4,1,0,0,0
6.3,468.3,0,190,0,22,65,1,0,2,64,45,0,4,1,0,0,0
6.31,469.59,0,189,0,25,52,1,0,2,65,44,0,4,1,0,0,0
6.32,467.11,0,188,0,25,56,1,0,2,65,45,0,4,1,0,0,0
6.33,458.88,0,185,0,21,55,1,0,2,65,44,0,4,1,0,0,0
6.34,456.29,0,188,0,21,51,1,0,2,65,45,0,4,1,0,0,0
6.35,458.06,0,185,0,25,51,1,0,2,65,44,0,4,1,0,0,0
6.36,461.45,0,184,0,20,55,1,0,2,65,44,0,5,1,0,0,0
6.37,287.02,0,6,0,22,52,2,0,1,65,45,0,4,1,0,0,0
6.38,284.87,0,6,0,21,50,1,0,1,64,45,0,4,1,0,0,0
6.39,290.84,0,7,0,21,47,1,0,1,64,45,0,4,1,0,0,0
6.4,295.59,0,7,0,19,60,1,0,1,65,45,0,4,1,0,0,0
6.41,285.33,0,7,0,21,45,1,0,1,65,45,0,5,1,0,0,0
6.42,282.82,0,6,0,20,46,1,0,1,65,45,0,5,1,0,0,0
6.43,296.76,0,6,0,21,57,1,0,1,65,45,0,5,1,0,0,0
6.44,294.69,0,6,0,20,57,1,0,1,65,45,0,4,1,0,0,0
6.45,289.28,0,7,0,23,51,1,0,2,65,45,0,4,1,0,0,0
6.46,290.55,0,7,0,22,53,1,0,1,64,45,0,4,1,0,0,0
6.47,292.97,0,6,0,20,50,1,0,1,65,45,0,5,1,0,0,0
6.48,290.03,0,7,0,20,52,1,0,1,65,45,0,4,1,0,0,0
6.49,299.1,0,6,0,20,50,1,0,1,64,45,0,4,1,0,0,0
6.5,299.17,0,7,0,22,54,1,0,1,65,45,0,4,1,0,0,0
6.51,307.97,0,6,0,19,64,1,0,1,64,45,0,4,1,0,0,0
6.52,346.41,0,6,0,19,98,1,0,1,64,44,0,5,1,0,0,0
6.53,357.76,0,6,0,21,122,1,0,1,64,44,0,5,1,0,0,0
6.54,350.44,0,6,0,20,93,1,0,1,64,45,0,4,1,0,0,0
6.55,361.73,0,6,0,20,116,1,0,1,64,45,0,4,1,0,0,0
6.56,413.42,0,7,0,20,97,1,0,81,65,45,0,4,1,0,0,0
6.57,392.88,0,6,0,20,84,1,0,81,65,45,0,4,1,0,0,0
6.58,387.54,0,6,0,19,79,1,0,82,65,44,0,5,1,0,0,0
6.59,355.2,0,6,0,23,105,2,0,1,65,45,0,5,1,0,0,0
7,355.97,0,6,1,25,105,1,0,1,65,45,0,5,1,0,0,0
7.01,364.59,0,6,0,21,128,1,0,1,65,45,0,5,1,0,0,0
7.02,367.94,0,7,0,20,103,1,0,1,64,45,0,4,1,0,0,0
7.03,391.56,0,7,0,22,104,1,0,1,65,45,0,65,1,0,0,0
7.04,353.69,0,7,0,22,96,1,0,1,64,45,0,4,1,0,0,0
7.05,536.48,0,230,1,21,85,1,0,2,65,45,0,5,1,0,0,0
7.06,552.13,0,200,0,22,119,1,0,1,65,45,0,4,1,0,0,0
7.07,2129.3,0,195,1,23,101,1,1,2,64,43,0,1569,13,7,6,0
7.08,602.19,0,195,0,21,116,1,0,2,65,45,0,65,1,0,0,0
7.09,505,0,192,0,21,87,1,0,2,65,45,0,4,1,0,0,0
7.1,506.67,0,192,0,21,90,1,0,2,65,44,0,5,1,0,0,0
7.11,499.5,0,192,0,21,84,1,0,1,64,45,0,4,1,0,0,0
7.12,510.95,0,187,0,25,91,1,0,2,64,44,0,5,1,0,0,0
7.13,4640.7,4137.5,181,2,18,83,2,0,0,63,46,0,3,1,1,0,0
7.14,4655.3,4142.5,183,2,20,94,2,0,0,63,46,0,3,1,1,0,0
7.15,4649.7,4127.5,183,2,21,99,2,0,0,63,46,0,3,1,1,0,0
7.16,4633.7,4120,182,2,20,92,2,0,0,63,46,0,3,1,1,0,0
7.17,504.32,0,186,0,21,85,1,0,2,65,45,0,4,1,0,0,0
7.18,493.58,0,184,0,23,86,1,0,2,64,45,0,5,1,0,0,0
7.19,4472.7,4137.5,2,3,18,78,2,0,0,63,45,0,3,1,1,0,0
7.2,322.12,0,6,0,20,79,1,0,1,65,45,0,4,1,0,0,0
7.21,349.06,0,6,0,19,95,1,0,1,64,45,0,5,1,0,0,0
7.22,344.01,0,6,0,22,94,2,0,1,65,45,0,5,1,0,0,0
7.23,332.54,0,6,0,21,84,2,0,1,65,45,0,5,1,0,0,0
7.24,342.2,0,6,0,20,116,1,0,1,65,45,0,4,1,0,0,0
7.25,4495.5,4152.5,2,3,21,92,2,0,0,63,46,0,3,2,1,0,0
7.26,354.45,0,6,0,19,113,1,0,1,65,45,0,4,0,0,0,0
7.27,391.26,40,6,0,19,96,0,0,1,64,45,0,4,1,0,1,0
7.28,335.91,0,6,0,20,87,2,0,1,64,45,0,5,1,0,0,0
7.29,1882.8,0,6,0,24,121,1,1,1,64,43,0,1518,13,7,6,0
7.3,1784.8,0,7,0,20,82,1,1,1,64,44,0,1461,12,7,5,0
7.31,1760.2,0,7,0,20,98,1,1,1,64,44,0,1405,12,6,5,0
7.32,5808.5,4132.5,2,2,21,97,0,0,0,65,45,0,1353,8,4,4,0
7.33,343.8,0,6,0,23,95,1,0,1,65,45,0,5,1,0,0,0
7.34,363.27,0,7,0,20,98,1,0,1,65,45,0,5,1,0,0,0
7.35,331.5,0,7,0,21,95,1,0,1,64,46,0,5,1,0,0,0
7.36,338.23,0,6,0,19,100,1,0,1,64,44,0,5,1,0,0,0
7.37,328.8,0,6,0,22,86,2,0,1,64,45,0,5,1,0,0,0
7.38,345.6,0,6,0,20,92,1,0,1,64,45,0,5,1,0,0,0
7.39,4467.2,4130,2,3,22,99,2,0,0,64,46,0,3,2,1,0,0
7.4,338.05,0,6,0,20,97,1,0,1,64,45,0,4,1,0,0,0
7.41,4478,4120,2,3,21,88,2,0,0,92,46,0,3,1,1,0,0
7.42,384.57,0,6,0,19,92,1,0,1,97,45,0,5,1,0,0,0
7.43,1842,0,7,0,21,85,1,1,2,98,44,0,1476,13,7,6,0
7.44,1839.3,0,7,0,20,93,1,1,1,96,43,0,1460,12,7,6,0
7.45,394.76,0,7,0,21,96,1,0,1,94,45,0,4,1,0,0,0
7.46,395.73,0,6,0,20,97,1,0,1,93,45,0,5,1,0,0,0
7.47,391.32,0,6,0,20,93,1,0,1,93,45,0,5,1,0,0,0
7.48,388.27,0,7,0,20,95,1,0,1,94,45,0,5,1,0,0,0
7.49,394.72,0,6,0,20,103,1,0,1,95,46,0,5,1,0,0,0
7.5,422.3,0,6,0,19,119,1,0,1,96,57,0,5,1,0,0,0
7.51,416.46,0,6,0,21,114,1,0,1,97,58,0,5,1,0,0,0
7.52,424.92,0,6,0,19,116,1,0,1,98,58,0,4,1,0,0,0
7.53,416.01,0,6,0,24,107,1,0,1,98,57,0,5,1,0,0,0
7.54,363.29,0,6,0,21,62,1,0,1,98,56,0,4,1,0,0,0
7.55,363.99,0,6,0,20,62,1,0,1,99,56,0,5,1,0,0,0
7.56,339.05,0,6,0,20,44,1,0,1,98,57,0,5,1,0,0,0
7.57,337.96,0,6,1,20,44,1,0,1,99,57,0,5,1,0,0,0
7.58,337.29,0,7,0,20,44,1,0,1,99,58,0,4,1,0,0,0
7.59,341.27,0,6,0,25,44,1,0,2,98,57,0,4,1,0,0,0
8,1780.1,0,7,0,24,43,1,2,2,64,56,0,1488,12,7,6,0
8.01,1760.7,0,7,0,20,43,1,1,2,64,57,0,1474,13,7,6,0
8.02,1723.4,0,7,0,20,43,1,0,2,64,57,0,1439,12,7,0,0
8.03,287.48,0,7,0,24,44,1,0,1,64,58,0,4,1,0,0,0
8.04,289.16,0,6,0,20,44,1,0,1,64,58,0,4,1,0,0,0
8.05,289.11,0,6,0,22,44,1,0,2,64,58,0,4,1,0,0,0
8.06,292.72,0,6,0,20,44,1,0,1,64,57,0,4,1,0,0,0
8.07,286.19,0,6,0,20,44,1,0,1,64,57,0,4,1,0,0,0
8.08,287.69,0,6,0,20,44,1,0,1,64,57,0,5,1,0,0,0
8.09,298.94,0,6,0,21,44,1,0,1,73,58,0,4,1,0,0,0
8.1,300.47,0,6,0,21,44,1,0,1,64,70,0,4,1,0,0,0
8.11,301.77,0,6,0,20,44,1,0,1,64,72,0,4,1,0,0,0
8.12,305.28,0,6,0,23,44,1,0,1,64,72,0,4,1,0,0,0
8.13,307.79,0,6,0,20,44,1,0,1,64,72,0,4,1,0,0,0
8.14,305.55,0,6,0,22,45,1,0,1,65,71,0,4,1,0,0,0
8.15,303.9,0,6,0,20,44,1,0,1,64,70,0,4,1,0,0,0
8.16,301.32,0,6,0,20,44,1,0,1,64,70,0,4,1,0,0,0
8.17,304.65,0,6,0,20,44,1,0,1,64,70,0,4,1,0,0,0
8.18,305.98,0,6,0,22,45,1,0,1,64,69,0,4,1,0,0,0
8.19,311.27,0,6,0,22,44,1,0,1,64,71,0,4,1,0,0,0
8.2,303.86,0,6,0,20,44,1,0,1,64,69,0,4,1,0,0,0
8.21,301.62,0,6,0,20,44,1,0,1,64,69,0,4,1,0,0,0
8.22,511.74,0,216,12,22,43,1,0,2,64,69,0,4,1,0,0,0
8.23,490.32,0,205,3,21,43,1,0,2,64,69,0,4,1,0,0,0
8.24,662.2,0,200,203,21,44,1,0,1,64,69,0,4,1,0,0,0
8.25,662.14,0,198,206,20,44,1,0,1,64,69,0,4,1,0,0,0
8.26,690.89,0,198,208,22,62,1,0,2,64,69,0,4,1,0,0,0
8.27,690.75,0,194,208,20,61,1,0,1,64,69,0,4,0,0,0,0
8.28,682.7,0,195,208,21,59,1,0,1,64,68,0,4,1,0,0,0
8.29,730.93,0,191,244,19,61,1,0,1,64,69,0,4,1,0,0,0
8.3,529.44,0,193,35,21,54,1,0,2,64,68,0,4,1,0,0,0
8.31,497.15,0,191,6,24,55,1,0,2,64,69,0,4,1,0,0,0
8.32,680.73,0,190,219,19,56,1,0,1,64,69,0,4,1,0,0,0
8.33,676.87,0,188,206,20,56,1,0,1,74,68,0,4,0,0,0,0
8.34,662.54,0,187,206,20,43,1,0,1,74,68,0,4,1,0,0,0
8.35,1566,2.5,187,1110,14,51,2,0,2,73,68,1,4,0,0,0,0
8.36,1546.7,5,184,1104,14,49,2,0,2,64,68,1,4,0,0,0,0
8.37,1549.6,2.5,184,1102,13,57,2,0,2,64,69,1,4,0,0,0,0
8.38,1387.7,2.5,6,1103,12,60,2,0,3,64,69,1,4,0,0,0,0
8.39,1402,2.5,6,1116,14,57,2,0,3,64,69,1,4,0,0,0,0
8.4,1395.1,5,6,1104,15,54,2,0,3,64,69,2,4,0,0,0,0
8.41,1386.5,2.5,6,1104,12,58,2,0,3,64,69,2,4,0,0,0,0
8.42,1390.5,5,6,1109,13,55,2,0,3,64,69,1,4,0,0,0,0
8.43,1399.8,5,6,1107,15,56,2,0,3,64,69,1,4,0,0,0,0
8.44,1392.3,5,6,1110,14,54,2,0,3,64,69,2,4,0,0,0,0
8.45,1393.8,2.5,6,1108,12,54,2,0,3,65,69,2,4,0,0,0,0
8.46,1390.2,5,6,1103,15,54,2,0,3,65,70,2,4,0,0,0,0
8.47,1385.8,5,6,1105,15,53,2,0,3,64,68,2,4,0,0,0,0
8.48,1392.1,2.5,6,1106,13,55,2,0,3,64,70,2,4,0,0,0,0
8.49,1387.1,2.5,6,1105,17,55,2,0,2,64,68,1,4,0,0,0,0
8.5,1385,5,6,1103,12,54,2,0,2,65,69,1,4,0,0,0,0
8.51,1388.6,2.5,6,1103,15,57,2,0,3,64,69,2,4,0,0,0,0
8.52,1386.3,5,6,1103,12,53,2,0,3,64,69,2,4,0,0,0,0
8.53,1408.8,5,6,1095,12,54,2,0,24,64,68,1,4,0,0,0,0
8.54,1363.7,5,6,1088,12,54,2,0,3,64,68,2,4,0,0,0,0
8.55,1377.8,2.5,6,1094,15,56,2,0,3,64,68,1,4,0,0,0,0
8.56,1370.3,2.5,5,1095,12,54,2,0,3,64,68,1,4,0,0,0,0
8.57,1372.4,5,5,1091,14,55,2,0,3,64,68,2,4,0,0,0,0
8.58,1369.9,5,6,1090,13,53,2,0,3,64,68,2,4,0,0,0,0
8.59,1367.6,2.5,5,1091,12,56,2,0,3,63,68,1,4,0,0,0,0
9,497.51,0,6,217,18,49,1,0,1,63,67,0,4,0,0,0,0
9.01,502.3,0,6,219,21,49,2,0,1,63,67,0,4,0,0,0,0
9.02,497.31,0,6,215,19,49,1,0,1,64,68,0,4,0,0,0,0
9.03,495.35,0,6,215,19,48,2,0,1,64,67,0,4,0,0,0,0
9.04,503.32,0,6,217,19,51,1,0,1,64,67,0,4,0,0,0,0
9.05,501.12,0,6,217,20,48,2,0,0,64,68,0,4,0,0,0,0
9.06,500.6,0,6,218,20,51,2,0,1,64,67,0,5,0,0,0,0
9.07,316.31,0,6,2,21,47,1,0,2,64,68,0,4,1,0,0,0
9.08,502.16,0,6,223,20,50,2,0,1,64,67,0,4,0,0,0,0
9.09,499.66,0,6,217,21,48,2,0,1,63,68,0,4,0,0,0,0
9.1,503.12,0,6,215,22,48,1,0,0,63,68,0,4,0,0,0,0
9.11,502.81,0,6,219,18,50,1,0,1,64,68,0,4,1,0,0,0
9.12,501.99,0,6,219,21,48,1,0,1,64,68,0,4,0,0,0,0
9.13,517.98,0,6,177,22,54,1,0,1,63,68,0,4,0,0,0,0
9.14,343.57,0,6,37,21,50,1,0,1,64,68,0,4,1,0,0,0
9.15,354.91,0,6,38,24,49,1,0,1,64,68,0,5,1,0,0,0
9.16,319.07,0,6,7,20,50,1,0,1,64,68,0,4,1,0,0,0
9.17,1571.7,0,222,1088,14,54,2,0,2,63,68,1,4,0,0,0,0
9.18,1563.4,2.5,199,1095,16,59,2,0,2,63,67,1,4,0,0,0,0
9.19,1547.6,2.5,199,1090,13,52,2,0,2,64,69,1,4,0,0,0,0
9.2,1546.8,2.5,196,1088,17,53,2,0,2,64,69,1,5,0,0,0,0
9.21,1545,2.5,196,1086,14,55,2,0,2,63,68,1,4,0,0,0,0
9.22,1539.6,2.5,191,1086,14,57,2,0,2,63,68,1,4,0,0,0,0
9.23,1546.7,0,193,1090,14,75,2,0,1,64,68,0,4,0,0,0,0
9.24,1547.7,2.5,191,1092,16,63,2,0,2,64,70,1,4,0,0,0,0
9.25,1538.5,0,188,1090,16,52,2,0,2,64,68,1,4,0,0,0,0
9.26,1545.1,2.5,189,1090,13,70,2,0,1,64,69,1,4,0,0,0,0
9.27,1538.1,2.5,187,1094,14,50,2,0,2,64,68,1,4,0,0,0,0
9.28,1535.7,0,188,1091,13,51,2,0,2,64,68,1,4,0,0,0,0
9.29,1529.5,2.5,185,1086,14,49,2,0,2,64,69,1,4,0,0,0,0
9.3,1541.1,0,185,1093,14,49,2,0,2,64,69,1,4,0,0,0,0
9.31,1365.1,0,6,1087,13,50,2,0,3,64,68,1,5,0,0,0,0
9.32,1363.2,5,6,1084,15,49,2,0,3,64,69,1,4,0,0,0,0
9.33,1366.6,2.5,6,1085,12,57,2,0,3,64,69,1,4,0,0,0,0
9.34,496.11,0,6,218,19,46,1,0,1,64,69,0,4,0,0,0,0
9.35,524.34,0,6,230,21,47,1,0,1,64,68,0,4,0,0,0,0
9.36,498.17,0,6,213,19,49,1,0,1,64,69,0,5,0,0,0,0
9.37,492.02,0,6,214,19,46,1,0,1,64,68,0,4,0,0,0,0
9.38,497.54,0,6,212,20,65,2,0,0,64,69,0,4,0,0,0,0
9.39,497.89,0,6,211,19,46,2,0,1,64,69,0,4,0,0,0,0
9.4,493.49,0,6,212,19,44,1,0,0,64,68,0,4,0,0,0,0
9.41,550.41,0,7,249,19,43,1,0,1,64,69,0,4,0,0,0,0
9.42,313.1,0,6,39,23,21,1,0,1,64,69,0,5,1,0,0,0
9.43,263.15,0,6,2,20,22,1,0,2,64,68,0,4,1,0,0,0
9.44,262.89,0,7,2,23,21,1,0,2,64,69,0,4,1,0,0,0
9.45,263.75,0,6,2,21,21,2,0,2,64,69,0,4,1,0,0,0
9.46,262.02,0,7,2,20,21,2,0,1,64,68,0,4,1,0,0,0
9.47,1132.3,5,6,1081,14,26,2,0,2,64,68,1,5,0,0,0,0
9.48,746.9,0,6,495,26,23,2,0,0,64,68,0,4,0,0,0,0
9.49,667.04,0,6,423,17,23,1,0,0,64,69,0,4,0,0,0,0
9.5,648.88,0,6,403,19,23,2,0,0,64,68,0,4,0,0,0,0
9.51,645,0,6,396,18,23,2,0,0,64,68,0,4,0,0,0,0
9.52,260.48,0,6,0,19,21,1,0,2,64,68,0,4,1,0,0,0
9.53,695.13,0,6,449,17,23,2,0,0,65,69,0,5,0,0,0,0
9.54,653.94,0,6,407,18,23,2,0,0,64,69,0,4,0,0,0,0
9.55,639.55,0,6,395,18,23,2,0,0,64,69,0,4,0,0,0,0
9.56,636.17,0,6,391,18,22,1,0,0,64,68,0,4,0,0,0,0
9.57,638.31,0,6,391,17,23,2,0,0,65,68,0,5,0,0,0,0
9.58,260.12,0,6,0,20,21,1,0,1,64,68,0,4,1,0,0,0
9.59,258.69,0,7,0,20,21,1,0,1,64,69,0,5,1,0,0,0
10,262.25,0,7,0,23,21,1,0,2,64,68,0,4,1,0,0,0
10.01,260,0,6,0,20,21,1,0,1,64,68,0,4,1,0,0,0
10.02,258.72,0,6,0,22,21,1,0,2,64,68,0,4,1,0,0,0
10.03,260.93,0,6,0,21,21,1,0,2,64,68,0,5,1,0,0,0
10.04,258.82,0,6,0,20,22,1,0,1,64,69,0,4,1,0,0,0
10.05,259.33,0,6,0,20,22,1,0,1,64,68,0,5,1,0,0,0
10.06,260.58,0,6,0,19,21,1,0,2,64,69,0,4,1,0,0,0
10.07,263.13,0,6,0,24,21,1,0,1,64,68,0,4,1,0,0,0
10.08,260.24,0,7,0,21,21,1,0,2,64,68,0,4,1,0,0,0
10.09,262.36,0,7,0,19,24,1,0,2,64,68,0,4,1,0,0,0
10.1,261.61,0,6,0,20,24,1,0,1,64,69,0,4,1,0,0,0
10.11,260.41,0,6,0,20,24,1,0,1,64,68,0,5,1,0,0,0
10.12,260.6,0,6,0,20,24,2,0,2,64,68,0,4,1,0,0,0
10.13,261.6,0,6,0,20,21,1,0,2,64,69,0,4,1,0,0,0
10.14,258.54,0,6,0,20,21,1,0,2,64,68,0,4,1,0,0,0
10.15,259.95,0,6,0,22,21,1,0,1,64,68,0,4,1,0,0,0
10.16,259.17,0,6,0,25,21,1,0,1,64,68,0,4,1,0,0,0
10.17,258.31,0,7,0,21,21,1,0,1,64,69,0,4,1,0,0,0
10.18,258.6,0,6,0,19,21,1,0,1,64,69,0,4,1,0,0,0
10.19,260.92,0,6,0,25,21,1,0,1,64,69,0,4,1,0,0,0
10.2,259.64,0,6,0,20,21,1,0,1,64,69,0,4,1,0,0,0
10.21,276.94,0,6,0,20,44,1,0,1,64,45,0,5,1,0,0,0
10.22,280.25,0,6,0,22,45,1,0,2,64,45,0,5,1,0,0,0
10.23,277.39,0,7,0,23,44,1,0,1,64,45,0,4,1,0,0,0
10.24,347.15,0,6,0,20,44,1,0,81,64,45,0,4,1,0,0,0
10.25,352.19,0,7,0,23,44,1,0,81,64,45,0,4,1,0,0,0
10.26,351.15,0,6,0,20,44,1,0,81,64,45,0,4,1,0,0,0
10.27,348.12,0,6,0,21,44,1,0,81,64,45,0,4,1,0,0,0
10.28,348.27,0,6,0,21,44,1,0,81,64,45,0,4,1,0,0,0
10.29,544,0,207,0,24,43,1,0,82,64,44,0,5,1,0,0,0
10.3,540.55,0,203,0,20,44,1,0,82,64,44,0,5,1,0,0,0
10.31,537.41,0,202,0,22,44,1,0,82,64,44,0,4,1,0,0,0
10.32,512.83,0,199,0,22,33,1,0,82,64,44,0,4,1,0,0,0
10.33,510.69,0,198,0,21,33,1,0,82,64,44,0,5,2,0,0,0
10.34,507.19,0,195,0,23,33,1,0,82,65,44,0,4,1,0,0,0
10.35,511.19,0,194,0,21,32,1,0,82,65,44,0,4,1,0,0,0
10.36,506.13,0,190,0,21,32,1,0,82,65,44,0,5,1,0,0,0
10.37,504.58,0,193,0,21,32,1,0,82,64,45,0,4,1,0,0,0
10.38,508.15,0,189,0,24,32,1,0,82,65,44,0,4,1,0,0,0
10.39,502.61,0,189,0,20,32,1,0,82,64,44,0,4,1,0,0,0
10.4,501.53,0,189,0,23,32,1,0,82,64,44,0,5,1,0,0,0
10.41,498.66,0,186,0,20,33,1,0,82,64,44,0,4,1,0,0,0
10.42,507.06,0,185,0,21,32,1,0,82,73,44,0,4,1,0,0,0
10.43,505.88,0,195,0,23,32,1,0,82,64,44,0,4,1,0,0,0
10.44,2060.6,0,193,1,23,40,3,1545,84,71,44,0,10,7,1,1,0
10.45,2052.3,0,188,1,21,38,3,1543,84,72,44,0,10,7,1,1,0
10.46,2048.5,0,188,1,22,35,3,1542,84,72,43,0,10,7,1,0,0
10.47,376.55,0,186,1,25,37,1,0,82,0,1,0,4,1,0,0,0
10.48,193.73,0,6,0,19,38,1,0,82,0,1,0,4,1,0,0,0
10.49,194.54,0,7,0,19,37,1,0,82,0,1,0,4,1,0,0,0
10.5,197.19,0,6,0,23,38,1,0,82,0,1,0,4,1,0,0,0
10.51,196.7,0,7,0,20,37,1,0,81,0,1,0,4,1,0,0,0
10.52,192.89,0,7,0,20,37,1,0,82,0,1,0,4,1,0,0,0
10.53,193.05,0,7,0,21,37,1,0,82,0,1,0,4,1,0,0,0
10.54,195.74,0,7,0,20,37,1,0,82,0,1,0,4,1,0,0,0
10.55,192.61,0,6,0,20,36,1,0,82,0,1,0,4,1,0,0,0
10.56,194.96,0,7,0,19,39,1,0,81,0,1,0,4,1,0,0,0
10.57,196.14,0,7,0,23,39,1,0,82,0,1,0,4,1,0,0,0
10.58,194.02,0,6,0,20,39,1,0,82,0,1,0,4,1,0,0,0
10.59,192.01,0,7,0,22,39,1,0,81,0,1,0,4,1,0,0,0
11,192.42,0,6,0,21,36,1,0,81,0,1,0,4,1,0,0,0
11.01,190.66,0,6,0,19,36,1,0,81,0,1,0,4,1,0,0,0
11.02,190.92,0,7,0,22,36,1,0,81,0,1,0,4,1,0,0,0
11.03,190.48,0,6,0,21,36,1,0,81,0,1,0,4,1,0,0,0
11.04,189.55,0,6,0,21,36,1,0,81,0,1,0,4,1,0,0,0
11.05,189.26,0,6,0,22,36,1,0,81,0,1,0,4,1,0,0,0
11.06,192.97,0,6,0,22,36,1,0,81,0,1,0,4,1,0,0,0
11.07,188.57,0,6,0,21,36,1,0,81,0,1,0,4,1,0,0,0
11.08,189.51,0,6,0,23,36,1,0,81,0,1,0,4,1,0,0,0
11.09,192.9,0,7,0,23,35,1,0,81,0,1,0,4,1,0,0,0
11.1,189.41,0,6,0,20,35,1,0,81,0,1,0,4,1,0,0,0
11.11,189.54,0,7,0,20,35,1,0,81,0,1,0,4,1,0,0,0
11.12,188.95,0,6,0,22,35,1,0,81,0,1,0,4,1,0,0,0
11.13,192.46,0,7,0,23,35,1,0,81,0,1,0,4,1,0,0,0
11.14,189.24,0,6,0,20,35,1,0,82,0,1,0,4,1,0,0,0
11.15,189.38,0,7,0,19,35,1,0,81,0,1,0,4,1,0,0,0
11.16,190.43,0,7,0,20,35,1,0,82,0,1,0,4,1,0,0,0
11.17,189.82,0,6,0,20,35,1,0,82,0,1,0,4,1,0,0,0
11.18,188.93,0,7,0,20,35,1,0,82,0,1,0,4,1,0,0,0
11.19,188.18,0,7,0,22,34,1,0,82,0,1,0,4,1,0,0,0
11.2,188.03,0,6,0,20,34,1,0,81,0,1,0,4,1,0,0,0
11.21,191.18,0,7,0,21,33,1,0,82,0,1,0,4,1,0,0,0
11.22,190.45,0,7,0,22,32,1,0,82,0,1,0,4,1,0,0,0
11.23,188.88,0,7,0,20,32,1,0,82,0,1,0,4,1,0,0,0
11.24,188.91,0,6,0,21,32,1,0,82,0,1,0,4,1,0,0,0
11.25,192.35,0,7,0,28,31,1,0,82,0,1,0,4,1,0,0,0
11.26,189.96,0,7,0,21,31,1,0,82,0,1,0,4,1,0,0,0
11.27,188.65,0,7,0,27,30,1,0,82,0,1,0,4,1,0,0,0
11.28,188.73,0,6,0,23,30,1,0,82,0,1,0,4,1,0,0,0
